speaker	direction	readout	system	text_index	prompt_mic	seed_arm	clone_sha256	own_candidate	other_candidate	cos_own_event	cos_other_event
p225	primary_mic1_to_mic2	ecapa	cosy	2	mic1	A	063207abe9de9e46	inputs/vctk/wav48_silence_trimmed/p225/p225_013_mic2.flac	inputs/vctk/wav48_silence_trimmed/p225/p225_108_mic2.flac	0.78394190074331527	0.73882100575690324
p225	primary_mic1_to_mic2	wavlm	cosy	2	mic1	A	063207abe9de9e46	inputs/vctk/wav48_silence_trimmed/p225/p225_013_mic2.flac	inputs/vctk/wav48_silence_trimmed/p225/p225_108_mic2.flac	0.98493560719338369	0.92011152624582659
p225	primary_mic1_to_mic2	ecapa	seedvc	2	mic1	A	53b5cf454996cf50	inputs/vctk/wav48_silence_trimmed/p225/p225_013_mic2.flac	inputs/vctk/wav48_silence_trimmed/p225/p225_108_mic2.flac	0.69224747656983598	0.64754178597484358
p225	primary_mic1_to_mic2	wavlm	seedvc	2	mic1	A	53b5cf454996cf50	inputs/vctk/wav48_silence_trimmed/p225/p225_013_mic2.flac	inputs/vctk/wav48_silence_trimmed/p225/p225_108_mic2.flac	0.81937099374181033	0.67841208179756207
p225	primary_mic1_to_mic2	ecapa	f5	3	mic1	A	208dfd503f4b9387	inputs/vctk/wav48_silence_trimmed/p225/p225_013_mic2.flac	inputs/vctk/wav48_silence_trimmed/p225/p225_108_mic2.flac	0.73000937329523474	0.63228291982132978
p225	primary_mic1_to_mic2	wavlm	f5	3	mic1	A	208dfd503f4b9387	inputs/vctk/wav48_silence_trimmed/p225/p225_013_mic2.flac	inputs/vctk/wav48_silence_trimmed/p225/p225_108_mic2.flac	0.98106772321791147	0.9481584564995823
p225	primary_mic1_to_mic2	ecapa	xtts	3	mic1	A	8854ce0e07fd0c3c	inputs/vctk/wav48_silence_trimmed/p225/p225_013_mic2.flac	inputs/vctk/wav48_silence_trimmed/p225/p225_108_mic2.flac	0.63086061131883753	0.57822349558235253
p225	primary_mic1_to_mic2	wavlm	xtts	3	mic1	A	8854ce0e07fd0c3c	inputs/vctk/wav48_silence_trimmed/p225/p225_013_mic2.flac	inputs/vctk/wav48_silence_trimmed/p225/p225_108_mic2.flac	0.97700668289314174	0.96330191547772459
p225	primary_mic1_to_mic2	ecapa	cosy	3	mic1	A	3b7b1d6e6bcf627f	inputs/vctk/wav48_silence_trimmed/p225/p225_013_mic2.flac	inputs/vctk/wav48_silence_trimmed/p225/p225_108_mic2.flac	0.76389891144558009	0.66253776905777617
p225	primary_mic1_to_mic2	wavlm	cosy	3	mic1	A	3b7b1d6e6bcf627f	inputs/vctk/wav48_silence_trimmed/p225/p225_013_mic2.flac	inputs/vctk/wav48_silence_trimmed/p225/p225_108_mic2.flac	0.98679285036749587	0.95211761933229855
