condition	speaker	system	text_index	seed_arm	readout	clone_path	cos_own_event	cos_other_event	cos_own_event_matched	cos_other_event_matched	cos_prompt
flat	p229	f5	0	A	ecapa	exp211/clones/flat/f5__mic1__seedA/p229_t0.wav	0.6786940638856811	0.65279363252799172	0.73953263885734388	0.72726237735182564	0.78566701305284847
flat	p229	f5	0	A	wavlmsv	exp211/clones/flat/f5__mic1__seedA/p229_t0.wav	0.97821331546582291	0.96590447763253395	0.9646847621241158	0.94709877746702342	0.96977703246944014
flat	p229	f5	1	A	ecapa	exp211/clones/flat/f5__mic1__seedA/p229_t1.wav	0.58169651982094961	0.59254269914676172	0.6601335457007862	0.66906964223783372	0.69599893355518694
flat	p229	f5	1	A	wavlmsv	exp211/clones/flat/f5__mic1__seedA/p229_t1.wav	0.96343829761994537	0.96765716356360099	0.93749031065644528	0.95172048908471674	0.95438036352230282
flat	p229	f5	2	A	ecapa	exp211/clones/flat/f5__mic1__seedA/p229_t2.wav	0.69958824819138488	0.64951560974718514	0.74969382076601576	0.68611753363882766	0.79751600356804775
flat	p229	f5	2	A	wavlmsv	exp211/clones/flat/f5__mic1__seedA/p229_t2.wav	0.98031634384788102	0.97705970272184506	0.96222618353665079	0.95484811534633551	0.9711681161159379
flat	p229	f5	3	A	ecapa	exp211/clones/flat/f5__mic1__seedA/p229_t3.wav	0.62831896679690447	0.57635500901207259	0.68742516573825074	0.68283508587260888	0.74788790509777225
flat	p229	f5	3	A	wavlmsv	exp211/clones/flat/f5__mic1__seedA/p229_t3.wav	0.94907191289332171	0.92673432983676085	0.93993139463375086	0.91878575171999088	0.9459278660364665
flat	p229	xtts	0	A	ecapa	exp211/clones/flat/xtts__mic1__seedA/p229_t0.wav	0.32990426424279412	0.37453052066729542	0.29735464264632289	0.36543190133499753	0.29235352228388928
flat	p229	xtts	0	A	wavlmsv	exp211/clones/flat/xtts__mic1__seedA/p229_t0.wav	0.85256364240126148	0.85028681323015187	0.84150140756186587	0.85673739250236658	0.85275344088635519
flat	p229	xtts	1	A	ecapa	exp211/clones/flat/xtts__mic1__seedA/p229_t1.wav	0.34749678782220206	0.4368168437144373	0.33150277017975749	0.43561711139230219	0.34486881611910175
flat	p229	xtts	1	A	wavlmsv	exp211/clones/flat/xtts__mic1__seedA/p229_t1.wav	0.83455937207898345	0.85831728994439627	0.83882429250440194	0.88864153441421756	0.85517140531974445
flat	p229	xtts	2	A	ecapa	exp211/clones/flat/xtts__mic1__seedA/p229_t2.wav	0.45867883954822836	0.51854665288097279	0.43647198389041564	0.52185643095325585	0.47744176540827232
flat	p229	xtts	2	A	wavlmsv	exp211/clones/flat/xtts__mic1__seedA/p229_t2.wav	0.91239931235495797	0.92889245485859251	0.90433944652043197	0.9320570492354564	0.92192328130071954
flat	p229	xtts	3	A	ecapa	exp211/clones/flat/xtts__mic1__seedA/p229_t3.wav	0.35750331543372643	0.40290695256781395	0.31854904478465107	0.41325098435677765	0.35695176892725655
flat	p229	xtts	3	A	wavlmsv	exp211/clones/flat/xtts__mic1__seedA/p229_t3.wav	0.81988211241157671	0.85535596166827332	0.80402817994841835	0.88400511340997867	0.83557140188242085
flat	p229	cosy	0	A	ecapa	exp211/clones/flat/cosy__mic1__seedA/p229_t0.wav	0.72462258561135029	0.68081334690545714	0.75188379887733647	0.6868015229955996	0.76695077160862291
flat	p229	cosy	0	A	wavlmsv	exp211/clones/flat/cosy__mic1__seedA/p229_t0.wav	0.96775289253495256	0.96279294221884038	0.9520189455722613	0.95064301430832665	0.96197023352254907
flat	p229	cosy	1	A	ecapa	exp211/clones/flat/cosy__mic1__seedA/p229_t1.wav	0.57117829146990318	0.59206612311666906	0.64085575361235048	0.59701019610723438	0.69974377772296514
flat	p229	cosy	1	A	wavlmsv	exp211/clones/flat/cosy__mic1__seedA/p229_t1.wav	0.96434117926617691	0.97159867419305801	0.95041472563342588	0.96148479878834026	0.96536632443399317
flat	p229	cosy	2	A	ecapa	exp211/clones/flat/cosy__mic1__seedA/p229_t2.wav	0.60864749646026239	0.56893760627165324	0.67406018965815195	0.57475390984569052	0.71063350649416734
flat	p229	cosy	2	A	wavlmsv	exp211/clones/flat/cosy__mic1__seedA/p229_t2.wav	0.97301409744924261	0.9568328004084059	0.95853690144995229	0.93104753417001263	0.96089361609569357
flat	p229	cosy	3	A	ecapa	exp211/clones/flat/cosy__mic1__seedA/p229_t3.wav	0.66001737411222661	0.56634048990778485	0.68380050780416057	0.58323768559088285	0.71745312935172523
flat	p229	cosy	3	A	wavlmsv	exp211/clones/flat/cosy__mic1__seedA/p229_t3.wav	0.94422844428121155	0.93323188593009021	0.93258275827706849	0.92512672450667588	0.945166662109165
flat	p229	seedvc	0	A	ecapa	exp211/clones/flat/seedvc__mic1__seedA/p229_t0.wav	0.58470226720356644	0.49818204210760197	0.62626088116175693	0.59116540214758717	0.65682965383056113
flat	p229	seedvc	0	A	wavlmsv	exp211/clones/flat/seedvc__mic1__seedA/p229_t0.wav	0.82979031144907012	0.82806872730497938	0.81288955016556974	0.84899483495469785	0.83728367121664915
flat	p229	seedvc	1	A	ecapa	exp211/clones/flat/seedvc__mic1__seedA/p229_t1.wav	0.46830973889846084	0.44906377143011589	0.50824408657239617	0.48733210303880925	0.54199911752793606
flat	p229	seedvc	1	A	wavlmsv	exp211/clones/flat/seedvc__mic1__seedA/p229_t1.wav	0.81001853005254421	0.79147385106265622	0.79117657287285015	0.79409643473919522	0.80599832564994967
flat	p229	seedvc	2	A	ecapa	exp211/clones/flat/seedvc__mic1__seedA/p229_t2.wav	0.48719537722674622	0.45472996211501354	0.52836789431867359	0.52348557795628636	0.54683527270262755
flat	p229	seedvc	2	A	wavlmsv	exp211/clones/flat/seedvc__mic1__seedA/p229_t2.wav	0.78854599033015027	0.77629392278079012	0.78375767963664345	0.78987590085823345	0.79279443877362699
flat	p229	seedvc	3	A	ecapa	exp211/clones/flat/seedvc__mic1__seedA/p229_t3.wav	0.56330397756746531	0.52115523933506591	0.57718161681854685	0.55814211496849309	0.61583933301413007
flat	p229	seedvc	3	A	wavlmsv	exp211/clones/flat/seedvc__mic1__seedA/p229_t3.wav	0.82630240490051987	0.82332061608049112	0.81193990436707741	0.83071226031313261	0.82342368464002058
flat	p229	f5	0	B	ecapa	exp211/clones/flat/f5__mic1__seedB/p229_t0.wav	0.70108901904651721	0.54088449693592056	0.76787828548737447	0.60185729563265022	0.79811628790590539
flat	p229	f5	0	B	wavlmsv	exp211/clones/flat/f5__mic1__seedB/p229_t0.wav	0.96422877012235997	0.94378376647256812	0.96096865981416058	0.9190880139952744	0.94711777465390434
