speaker	direction	readout	system	text_index	prompt_mic	seed_arm	clone_sha256	own_candidate	other_candidate	cos_own_event	cos_other_event
p229	primary_mic1_to_mic2	ecapa	cosy	2	mic1	A	0ee374a723bd2fbd	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	0.80393435065389129	0.6452983537719108
p229	primary_mic1_to_mic2	wavlm	cosy	2	mic1	A	0ee374a723bd2fbd	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	0.98036586301580564	0.97959441720479923
p229	primary_mic1_to_mic2	ecapa	seedvc	2	mic1	A	9dd4c39d5dc9cd07	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	0.6819158075134617	0.52519033873234944
p229	primary_mic1_to_mic2	wavlm	seedvc	2	mic1	A	9dd4c39d5dc9cd07	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	0.81391540230456116	0.8164023362948214
p229	primary_mic1_to_mic2	ecapa	f5	3	mic1	A	91505b745b0e287d	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	0.76487282430856873	0.61255556072619566
p229	primary_mic1_to_mic2	wavlm	f5	3	mic1	A	91505b745b0e287d	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	0.93621297282788429	0.9361301288345556
p229	primary_mic1_to_mic2	ecapa	xtts	3	mic1	A	220b1c7d2f0191c8	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	0.63669954597555667	0.55835556417830545
p229	primary_mic1_to_mic2	wavlm	xtts	3	mic1	A	220b1c7d2f0191c8	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	0.95804290382364776	0.97431668331136878
p229	primary_mic1_to_mic2	ecapa	cosy	3	mic1	A	e1c992a72302e1c3	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	0.7702896391320363	0.59269618581992833
p229	primary_mic1_to_mic2	wavlm	cosy	3	mic1	A	e1c992a72302e1c3	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	0.97393406363985435	0.97095188071902849
p229	primary_mic1_to_mic2	ecapa	seedvc	3	mic1	A	4b7380d38a908577	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	0.69124528118326656	0.52932061350015847
p229	primary_mic1_to_mic2	wavlm	seedvc	3	mic1	A	4b7380d38a908577	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	0.86047454959504621	0.87075152838059611
p229	primary_mic1_to_mic2	ecapa	f5	0	mic1	B	fcda85b1a8f913d4	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.67676781852735701	0.59835962448928337
p229	primary_mic1_to_mic2	wavlm	f5	0	mic1	B	fcda85b1a8f913d4	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.830536929759077	0.82581681979068788
p229	primary_mic1_to_mic2	ecapa	xtts	0	mic1	B	4b423865f66c98b7	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.57018395495195184	0.54481999710352658
p229	primary_mic1_to_mic2	wavlm	xtts	0	mic1	B	4b423865f66c98b7	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.9514728108319771	0.95683902381982766
p229	primary_mic1_to_mic2	ecapa	cosy	0	mic1	B	8f97de2c394b499b	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.72878726392371562	0.68436490852216703
p229	primary_mic1_to_mic2	wavlm	cosy	0	mic1	B	8f97de2c394b499b	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.95960635370626801	0.94693210790015148
p229	primary_mic1_to_mic2	ecapa	seedvc	0	mic1	B	8e7eed237aa644a0	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.62161768282959784	0.57973272740637083
p229	primary_mic1_to_mic2	wavlm	seedvc	0	mic1	B	8e7eed237aa644a0	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.8419539860017744	0.81369464979876682
p229	primary_mic1_to_mic2	ecapa	f5	1	mic1	B	f1cec6489945ce54	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.6275310049078926	0.57949986487481797
p229	primary_mic1_to_mic2	wavlm	f5	1	mic1	B	f1cec6489945ce54	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.84458269111673578	0.85617989255508864
p229	primary_mic1_to_mic2	ecapa	xtts	1	mic1	B	576789805ae314a1	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.65055314150080512	0.59231948366006271
p229	primary_mic1_to_mic2	wavlm	xtts	1	mic1	B	576789805ae314a1	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.96659892092669297	0.96487613647656922
p229	primary_mic1_to_mic2	ecapa	cosy	1	mic1	B	ac7d454f5779b51a	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.76087361189834191	0.66859940290171405
p229	primary_mic1_to_mic2	wavlm	cosy	1	mic1	B	ac7d454f5779b51a	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.95710920200040328	0.94515088661727997
p229	primary_mic1_to_mic2	ecapa	seedvc	1	mic1	B	4a1020306eaade9f	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.70327803735361683	0.60672689560639159
p229	primary_mic1_to_mic2	wavlm	seedvc	1	mic1	B	4a1020306eaade9f	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.84735956244943877	0.84396382312823515
p229	primary_mic1_to_mic2	ecapa	f5	2	mic1	B	cb6eb6d60140df62	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.64182557874503587	0.57132082987004718
p229	primary_mic1_to_mic2	wavlm	f5	2	mic1	B	cb6eb6d60140df62	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.82036221571385926	0.81385437934381522
p229	primary_mic1_to_mic2	ecapa	xtts	2	mic1	B	0395bc7ea25165f7	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.5836326269061437	0.62141880616037337
p229	primary_mic1_to_mic2	wavlm	xtts	2	mic1	B	0395bc7ea25165f7	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.97601278844570749	0.9400029116481412
p229	primary_mic1_to_mic2	ecapa	cosy	2	mic1	B	215498247ec8bde8	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.78189709436060884	0.71410662714382422
p229	primary_mic1_to_mic2	wavlm	cosy	2	mic1	B	215498247ec8bde8	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.98042778517865514	0.96405318541542229
p229	primary_mic1_to_mic2	ecapa	seedvc	2	mic1	B	39ecadc6b6283f3d	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.59235128294437245	0.55479069183072305
p229	primary_mic1_to_mic2	wavlm	seedvc	2	mic1	B	39ecadc6b6283f3d	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.83106020583489482	0.83031207125135453
p229	primary_mic1_to_mic2	ecapa	f5	3	mic1	B	145d9d23150a0c6f	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.65925694262826351	0.60832710509387367
p229	primary_mic1_to_mic2	wavlm	f5	3	mic1	B	145d9d23150a0c6f	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.87940228010236765	0.88172830918944634
p229	primary_mic1_to_mic2	ecapa	xtts	3	mic1	B	68063277bfc706ff	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.587230633333784	0.62154883777902992
p229	primary_mic1_to_mic2	wavlm	xtts	3	mic1	B	68063277bfc706ff	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.95880140367842048	0.94809992507449159
p229	primary_mic1_to_mic2	ecapa	cosy	3	mic1	B	11d7b4623ed98563	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.66330474501795189	0.64863428598706618
p229	primary_mic1_to_mic2	wavlm	cosy	3	mic1	B	11d7b4623ed98563	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.88502434210275915	0.88603074961903894
p229	primary_mic1_to_mic2	ecapa	seedvc	3	mic1	B	983016a3b7d1bd52	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.63531755467807827	0.5804581426944001
p229	primary_mic1_to_mic2	wavlm	seedvc	3	mic1	B	983016a3b7d1bd52	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	0.81753964783067745	0.80500390685150647
p229	reverse_mic2_to_mic1	ecapa	f5	0	mic2	A	6070465f7ef1cd97	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic1.flac	0.7776107158428307	0.6762489800373872
p229	reverse_mic2_to_mic1	wavlm	f5	0	mic2	A	6070465f7ef1cd97	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic1.flac	0.98228244767608675	0.98097906050568251
p229	reverse_mic2_to_mic1	ecapa	xtts	0	mic2	A	0723284f0f1ebc80	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic1.flac	0.41470347717077688	0.38618768180014462
p229	reverse_mic2_to_mic1	wavlm	xtts	0	mic2	A	0723284f0f1ebc80	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic1.flac	0.85046388382854354	0.85084852250769982
p229	reverse_mic2_to_mic1	ecapa	cosy	0	mic2	A	e8d10704cd973750	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic1.flac	0.77757828873156165	0.65513164677726099
p229	reverse_mic2_to_mic1	wavlm	cosy	0	mic2	A	e8d10704cd973750	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic1.flac	0.9634505355874774	0.9634768393097729
p229	reverse_mic2_to_mic1	ecapa	seedvc	0	mic2	A	56a716c80e852d46	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic1.flac	0.69038612306616831	0.55707129008372058
p229	reverse_mic2_to_mic1	wavlm	seedvc	0	mic2	A	56a716c80e852d46	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic1.flac	0.86887418218957335	0.90020470562728228
p229	reverse_mic2_to_mic1	ecapa	f5	1	mic2	A	ba1a6d8fea4d47fe	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic1.flac	0.7542339810229558	0.66334374532561147
p229	reverse_mic2_to_mic1	wavlm	f5	1	mic2	A	ba1a6d8fea4d47fe	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic1.flac	0.94943977613354469	0.96432795533151905
