speaker	gen1_system	gen1_text_index	gen2_system	gen2_text_index	seed_arm	readout	clone_path	cos_own_event	cos_other_event
p229	cosy	1	seedvc	2	B	ecapa	exp210/clones/seedvc__from_cosy__seedB/p229_t2.wav	0.59930233207188754	0.4430396075824039
p229	cosy	1	seedvc	2	B	wavlmsv	exp210/clones/seedvc__from_cosy__seedB/p229_t2.wav	0.75039477799272025	0.73197118801286387
p229	cosy	2	seedvc	3	A	ecapa	exp210/clones/seedvc__from_cosy__seedA/p229_t3.wav	0.52573047650272242	0.50896016416912404
p229	cosy	2	seedvc	3	A	wavlmsv	exp210/clones/seedvc__from_cosy__seedA/p229_t3.wav	0.77574922018451453	0.76825941519125751
p229	cosy	2	seedvc	3	B	ecapa	exp210/clones/seedvc__from_cosy__seedB/p229_t3.wav	0.59250664268141295	0.43458085304585287
p229	cosy	2	seedvc	3	B	wavlmsv	exp210/clones/seedvc__from_cosy__seedB/p229_t3.wav	0.83382847114876713	0.82299850305391586
p229	cosy	3	seedvc	0	A	ecapa	exp210/clones/seedvc__from_cosy__seedA/p229_t0.wav	0.55786169781788364	0.50342041319339592
p229	cosy	3	seedvc	0	A	wavlmsv	exp210/clones/seedvc__from_cosy__seedA/p229_t0.wav	0.80960979217107232	0.80826921665565754
p229	cosy	3	seedvc	0	B	ecapa	exp210/clones/seedvc__from_cosy__seedB/p229_t0.wav	0.55941120443631376	0.44796911448786975
p229	cosy	3	seedvc	0	B	wavlmsv	exp210/clones/seedvc__from_cosy__seedB/p229_t0.wav	0.72553780345472441	0.71858973011506566
p229	seedvc	0	f5	1	A	ecapa	exp210/clones/f5__from_seedvc__seedA/p229_t1.wav	0.5350602859083371	0.50620835130786201
p229	seedvc	0	f5	1	A	wavlmsv	exp210/clones/f5__from_seedvc__seedA/p229_t1.wav	0.70713415409906544	0.7153802201428916
p229	seedvc	0	f5	1	B	ecapa	exp210/clones/f5__from_seedvc__seedB/p229_t1.wav	0.56010591748696825	0.40974394312748674
p229	seedvc	0	f5	1	B	wavlmsv	exp210/clones/f5__from_seedvc__seedB/p229_t1.wav	0.69123746659554963	0.67812802898610181
p229	seedvc	1	f5	2	A	ecapa	exp210/clones/f5__from_seedvc__seedA/p229_t2.wav	0.48800398313869453	0.49104778800689536
p229	seedvc	1	f5	2	A	wavlmsv	exp210/clones/f5__from_seedvc__seedA/p229_t2.wav	0.7295360651303493	0.73074393665202253
p229	seedvc	1	f5	2	B	ecapa	exp210/clones/f5__from_seedvc__seedB/p229_t2.wav	0.56793270667251394	0.44609175004744617
p229	seedvc	1	f5	2	B	wavlmsv	exp210/clones/f5__from_seedvc__seedB/p229_t2.wav	0.73622329175698931	0.73236311020310008
p229	seedvc	2	f5	3	A	ecapa	exp210/clones/f5__from_seedvc__seedA/p229_t3.wav	0.53647882747992481	0.51342695626671786
p229	seedvc	2	f5	3	A	wavlmsv	exp210/clones/f5__from_seedvc__seedA/p229_t3.wav	0.73632674642612062	0.71641823352545653
p229	seedvc	2	f5	3	B	ecapa	exp210/clones/f5__from_seedvc__seedB/p229_t3.wav	0.53257630431820324	0.37600840646622347
p229	seedvc	2	f5	3	B	wavlmsv	exp210/clones/f5__from_seedvc__seedB/p229_t3.wav	0.7306391219351378	0.72713289600396114
p229	seedvc	3	f5	0	A	ecapa	exp210/clones/f5__from_seedvc__seedA/p229_t0.wav	0.47259818583813318	0.44987532519210022
p229	seedvc	3	f5	0	A	wavlmsv	exp210/clones/f5__from_seedvc__seedA/p229_t0.wav	0.70925181159405015	0.71890834867710618
p229	seedvc	3	f5	0	B	ecapa	exp210/clones/f5__from_seedvc__seedB/p229_t0.wav	0.48945272004666196	0.37442985475167379
p229	seedvc	3	f5	0	B	wavlmsv	exp210/clones/f5__from_seedvc__seedB/p229_t0.wav	0.72167214443821837	0.69472798239806743
p231	f5	0	xtts	1	A	ecapa	exp210/clones/xtts__from_f5__seedA/p231_t1.wav	0.43285485693038739	0.4658350923258987
p231	f5	0	xtts	1	A	wavlmsv	exp210/clones/xtts__from_f5__seedA/p231_t1.wav	0.79767645971749102	0.81337097960710669
p231	f5	0	xtts	1	B	ecapa	exp210/clones/xtts__from_f5__seedB/p231_t1.wav	0.52096019208220301	0.48774443698737641
p231	f5	0	xtts	1	B	wavlmsv	exp210/clones/xtts__from_f5__seedB/p231_t1.wav	0.84310800515995754	0.8465046020213759
p231	f5	1	xtts	2	A	ecapa	exp210/clones/xtts__from_f5__seedA/p231_t2.wav	0.5535524943347041	0.62355075718471409
