speaker	system	text_index	prompt_mic	seed_arm	clone_path	clone_sha256	candidate_A_path	candidate_A_sha256	candidate_B_path	candidate_B_sha256	same_candidate_A_path	same_candidate_A_sha256	same_candidate_B_path	same_candidate_B_sha256	ecapa_A	ecapa_B	wavlm_A	wavlm_B	ecapa_same_A	ecapa_same_B	wavlm_same_A	wavlm_same_B
p229	f5	2	mic2	A	runtime/clones/f5__mic2__seedA/p229_t2.wav	2844d0f70f8faba76dfbf98e184052619887d0ec2d80a83179ac60cca859bee3	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic1.flac	970505f46176549f2325fc84987362cbc21b51c417b45442764a2bafa462e74e	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic1.flac	2bcca59e83097d00497f90e13c0942a1391d66af782cdb9edcc8a17939007bfc	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic2.flac	4d0f0c47d2e0ad44b4a5dbc3f42be4fabe210d5fa5c73d9cc878a329a68aa5f9	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic2.flac	e181230a52fc97c41876bb1e663b8e61137776a387cf5a5494c8174ed1878142	0.71598100662231445	0.60760009288787842	0.9709010124206543	0.94708764553070068	0.7323688268661499	0.66149324178695679	0.9651341438293457	0.95196956396102905
p229	f5	2	mic2	B	runtime/clones/f5__mic2__seedB/p229_t2.wav	e544f3cae79ecdc81ba6edf51a7761a956f8f95d2c4cee6746c19e2af1698ddd	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic1.flac	970505f46176549f2325fc84987362cbc21b51c417b45442764a2bafa462e74e	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic1.flac	2bcca59e83097d00497f90e13c0942a1391d66af782cdb9edcc8a17939007bfc	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic2.flac	4d0f0c47d2e0ad44b4a5dbc3f42be4fabe210d5fa5c73d9cc878a329a68aa5f9	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic2.flac	e181230a52fc97c41876bb1e663b8e61137776a387cf5a5494c8174ed1878142	0.53601884841918945	0.61462068557739258	0.74345749616622925	0.73821425437927246	0.55899500846862793	0.68376451730728149	0.73163998126983643	0.74990558624267578
p229	f5	3	mic1	A	runtime/clones/f5__mic1__seedA/p229_t3.wav	02b31c6219f89294d3914e862be0e2eb8a5a0ee0dae5dd766d3bdbc93b9b2a32	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic2.flac	4d0f0c47d2e0ad44b4a5dbc3f42be4fabe210d5fa5c73d9cc878a329a68aa5f9	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic2.flac	e181230a52fc97c41876bb1e663b8e61137776a387cf5a5494c8174ed1878142	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic1.flac	970505f46176549f2325fc84987362cbc21b51c417b45442764a2bafa462e74e	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic1.flac	2bcca59e83097d00497f90e13c0942a1391d66af782cdb9edcc8a17939007bfc	0.6871037483215332	0.62968248128890991	0.93071478605270386	0.91457945108413696	0.72629755735397339	0.62563490867614746	0.93205356597900391	0.91110807657241821
p229	f5	3	mic1	B	runtime/clones/f5__mic1__seedB/p229_t3.wav	654d8b1b5ce06319d062237c347639c30c1ae628f1a1ab2e83c151293ff438cc	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic2.flac	4d0f0c47d2e0ad44b4a5dbc3f42be4fabe210d5fa5c73d9cc878a329a68aa5f9	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic2.flac	e181230a52fc97c41876bb1e663b8e61137776a387cf5a5494c8174ed1878142	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic1.flac	970505f46176549f2325fc84987362cbc21b51c417b45442764a2bafa462e74e	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic1.flac	2bcca59e83097d00497f90e13c0942a1391d66af782cdb9edcc8a17939007bfc	0.52075481414794922	0.68004655838012695	0.81838357448577881	0.81243860721588135	0.55949133634567261	0.7040402889251709	0.8183971643447876	0.80336260795593262
p229	f5	3	mic2	A	runtime/clones/f5__mic2__seedA/p229_t3.wav	c0c296bcd3de7dcb5e07a8ed2df6879d274c01532c3acd0ecb82cdc50c110953	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic1.flac	970505f46176549f2325fc84987362cbc21b51c417b45442764a2bafa462e74e	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic1.flac	2bcca59e83097d00497f90e13c0942a1391d66af782cdb9edcc8a17939007bfc	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic2.flac	4d0f0c47d2e0ad44b4a5dbc3f42be4fabe210d5fa5c73d9cc878a329a68aa5f9	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic2.flac	e181230a52fc97c41876bb1e663b8e61137776a387cf5a5494c8174ed1878142	0.76718759536743164	0.54728561639785767	0.95887422561645508	0.93710887432098389	0.78573417663574219	0.60870140790939331	0.95621758699417114	0.94150388240814209
p229	f5	3	mic2	B	runtime/clones/f5__mic2__seedB/p229_t3.wav	617fab3410fcc9bc76e0491d8ea149438b923c29ac25e1a55bac8e4e9cf41e56	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic1.flac	970505f46176549f2325fc84987362cbc21b51c417b45442764a2bafa462e74e	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic1.flac	2bcca59e83097d00497f90e13c0942a1391d66af782cdb9edcc8a17939007bfc	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic2.flac	4d0f0c47d2e0ad44b4a5dbc3f42be4fabe210d5fa5c73d9cc878a329a68aa5f9	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic2.flac	e181230a52fc97c41876bb1e663b8e61137776a387cf5a5494c8174ed1878142	0.59056210517883301	0.68847161531448364	0.84420657157897949	0.82967406511306763	0.58555638790130615	0.7262158989906311	0.84007209539413452	0.84005236625671387
p229	xtts	0	mic1	A	runtime/clones/xtts__mic1__seedA/p229_t0.wav	59b3213a8621fcda4aa74dedc635ddaf5bc729b564186abb5c44a411348e9aa4	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic2.flac	4d0f0c47d2e0ad44b4a5dbc3f42be4fabe210d5fa5c73d9cc878a329a68aa5f9	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic2.flac	e181230a52fc97c41876bb1e663b8e61137776a387cf5a5494c8174ed1878142	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic1.flac	970505f46176549f2325fc84987362cbc21b51c417b45442764a2bafa462e74e	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic1.flac	2bcca59e83097d00497f90e13c0942a1391d66af782cdb9edcc8a17939007bfc	0.50698232650756836	0.53308647871017456	0.9598395824432373	0.97366607189178467	0.51974213123321533	0.5107954740524292	0.97406196594238281	0.96818333864212036
p229	xtts	0	mic1	B	runtime/clones/xtts__mic1__seedB/p229_t0.wav	7421d89958f00bb19e16bc77d9a938c24cc2557f134ea6614bf5f335cc344328	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic2.flac	4d0f0c47d2e0ad44b4a5dbc3f42be4fabe210d5fa5c73d9cc878a329a68aa5f9	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic2.flac	e181230a52fc97c41876bb1e663b8e61137776a387cf5a5494c8174ed1878142	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic1.flac	970505f46176549f2325fc84987362cbc21b51c417b45442764a2bafa462e74e	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic1.flac	2bcca59e83097d00497f90e13c0942a1391d66af782cdb9edcc8a17939007bfc	0.42596292495727539	0.65420693159103394	0.96510171890258789	0.98535239696502686	0.46220019459724426	0.67775380611419678	0.97830688953399658	0.98026931285858154
p229	xtts	0	mic2	A	runtime/clones/xtts__mic2__seedA/p229_t0.wav	e11d8aa71e9655f4a373d9f3411e832a8e71dd81707a140c1e34943d86e90f2c	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic1.flac	970505f46176549f2325fc84987362cbc21b51c417b45442764a2bafa462e74e	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic1.flac	2bcca59e83097d00497f90e13c0942a1391d66af782cdb9edcc8a17939007bfc	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic2.flac	4d0f0c47d2e0ad44b4a5dbc3f42be4fabe210d5fa5c73d9cc878a329a68aa5f9	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic2.flac	e181230a52fc97c41876bb1e663b8e61137776a387cf5a5494c8174ed1878142	0.34491986036300659	0.33664354681968689	0.85215121507644653	0.84496903419494629	0.36477202177047729	0.37701359391212463	0.84404575824737549	0.84576946496963501
p229	xtts	0	mic2	B	runtime/clones/xtts__mic2__seedB/p229_t0.wav	3320a415edaff01df09b739c02ce702fc6b2da65c9c11330a9693a0bde5ec947	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic1.flac	970505f46176549f2325fc84987362cbc21b51c417b45442764a2bafa462e74e	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic1.flac	2bcca59e83097d00497f90e13c0942a1391d66af782cdb9edcc8a17939007bfc	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic2.flac	4d0f0c47d2e0ad44b4a5dbc3f42be4fabe210d5fa5c73d9cc878a329a68aa5f9	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic2.flac	e181230a52fc97c41876bb1e663b8e61137776a387cf5a5494c8174ed1878142	0.38649401068687439	0.54659074544906616	0.89910495281219482	0.90816342830657959	0.38693416118621826	0.57532942295074463	0.88327509164810181	0.91455626487731934
p229	xtts	1	mic1	A	runtime/clones/xtts__mic1__seedA/p229_t1.wav	f5b503720c29fe48f0eebd7667c6cc43c2f42a440ac346bd65fbdc5d9cd31480	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic2.flac	4d0f0c47d2e0ad44b4a5dbc3f42be4fabe210d5fa5c73d9cc878a329a68aa5f9	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic2.flac	e181230a52fc97c41876bb1e663b8e61137776a387cf5a5494c8174ed1878142	inputs/vctk/wav48_silence_trimmed/p229/p229_040_mic1.flac	970505f46176549f2325fc84987362cbc21b51c417b45442764a2bafa462e74e	inputs/vctk/wav48_silence_trimmed/p229/p229_229_mic1.flac	2bcca59e83097d00497f90e13c0942a1391d66af782cdb9edcc8a17939007bfc	0.53715991973876953	0.59378832578659058	0.96115767955780029	0.97656869888305664	0.55853807926177979	0.54871296882629395	0.97561502456665039	0.9689980149269104
